"lang"
{
	"Language"		"English"
         "DOTA_Tooltip_Ability_mirana_blessing_lore"        "Blessings upon a loyal warrior."
         "DOTA_Tooltip_modifier_mirana_blessing_buff"    "Blessed"
         "DOTA_Tooltip_modifier_mirana_blessing_buff_Description"        "Grant attack speed bonus and incoming damage reduction."
         "DOTA_Tooltip_Ability_mirana_holy"     "Holy Arrow"
         "DOTA_Tooltip_Ability_mirana_holy_Description"       "Shoot multiple sets of dodgeable holy arrows to all enemies. They deal holy damage and ministun upon hit. Uninterruptible cast time: 2 seconds"
         "DOTA_Tooltip_Ability_mirana_holy_range"       "RANGE: "
         "DOTA_Tooltip_Ability_mirana_holy_number"      "NUMBER OR ARROWS: "
         "DOTA_Tooltip_Ability_mirana_holy_damage"      "DAMGE: "
         "DOTA_Tooltip_Ability_mirana_holy_lore"        "Moon enchanted arrows pierce through the thickest armor."
         "DOTA_Tooltip_Ability_mirana_under"            "Under the Moonlight "
         "DOTA_Tooltip_Ability_mirana_under_Description"        "Focuses Selemene’s moonlight on random enemies sealing their magical pathways. Repeatedly silence enemies with moonlight."
         "DOTA_Tooltip_Ability_mirana_under_range"          "RANGE: "
         "DOTA_Tooltip_Ability_mirana_under_number_targets"     "NUMBER OF TARGETS: "
         "DOTA_Tooltip_Ability_mirana_under_number_instances"       "NUMBER OF INSTANCES: "
         "DOTA_Tooltip_Ability_mirana_under_interval"       "INSTANCE INTERVAL: "
         "DOTA_Tooltip_Ability_mirana_under_silence"        "SILENCE DURATION PER INSTANCE: "
         "DOTA_Tooltip_Ability_mirana_under_seal_duration"      "SEAL DURATION: "
         "DOTA_Tooltip_Ability_mirana_under_lore"           "Dancing in the moonlight."
         "DOTA_Tooltip_modifier_mirana_under_silence"           "Under the Moonlight"
         "DOTA_Tooltip_modifier_mirana_under_silence_Description"   "Silenced"
         "DOTA_Tooltip_Ability_mirana_aligned"      "Star Aligned"
         "DOTA_Tooltip_Ability_mirana_aligned_Description"      "Charge moon essence and call forth a starfall dealing void nature damage on a random target. The damage grows exponentially based on channeled time. Channel time: 5 seconds"
         "DOTA_Tooltip_Ability_mirana_aligned_range"        "RANGE:"
         "DOTA_Tooltip_Ability_mirana_aligned_base_damage"      "BASE DAMAGE: "
         "DOTA_Tooltip_Ability_mirana_aligned_expo"     "DAMAGE MULTIPLICATION PER SECOND CHANNELED: "
         "DOTA_Tooltip_Ability_mirana_aligned_total_damage"     "FULLY CHARGED DAMAGE: "
         "DOTA_Tooltip_Ability_mirana_aligned_lore"     "They said oneshot build is unfun. The only exception is the time you are the one oneshotting others."
         "DOTA_Tooltip_Ability_mirana_guile"        "Princess' Guile"
         "DOTA_Tooltip_Ability_mirana_guile_Description"    "Swap the position and the aggro value of highest aggro enemy with a random enemy then apply an undispellable root to both."
         "DOTA_Tooltip_Ability_mirana_guile_range"      "RANGE: "
         "DOTA_Tooltip_Ability_mirana_guile_root"   "DURATION: "
         "DOTA_Tooltip_Ability_mirana_guile_lore"       "Bounded by moon chains."
         "DOTA_Tooltip_modifier_mirana_guile"           "Moon chained"
         "DOTA_Tooltip_modifier_mirana_guile_Description"       "Undispellable rooted"
         "DOTA_Tooltip_Ability_mirana_bound"        "Moon Bound"
         "DOTA_Tooltip_Ability_mirana_bound_Description"        "If one moon bound unit dies, the other one will gain lifesteal and attack damage bonus."
         "DOTA_Tooltip_Ability_mirana_bound_attack"         "%ATTACK DAMAGE BONUS: "
         "DOTA_Tooltip_Ability_mirana_bound_lifesteal"      "%LIFESTEAL: "
         "DOTA_Tooltip_Ability_mirana_bound_lore"       "Pledging oneself to the service of Selemene bound one’s soul for eternity."
         "DOTA_Tooltip_modifier_mirana_bound_buff"       "Moon Bound"
         "DOTA_Tooltip_modifier_mirana_bound_buff_Description"   "Grant lifesteal and attack damage bonus when there are 2 charges. Gain charge when Luna dies."

         //luna
         "DOTA_Tooltip_Ability_luna_void"       "VOID GLAIVE"
         "DOTA_Tooltip_Ability_luna_void_Description"       "Auto Attack cause target to explode dealing Area of Effect void damage base on targets’ missing mana."
         "DOTA_Tooltip_Ability_luna_void_explode_per_mana"      "EXPLOSION VOID DAMAGE PER MISSING MANA: "
         "DOTA_Tooltip_Ability_luna_void_radius"        "RADIUS: "
         "DOTA_Tooltip_Ability_luna_void_lore"      "Luna glaive is strengthened by the void in the target’s soul."
         "DOTA_Tooltip_Ability_luna_sky"        "Eclipsed Sky"
         "DOTA_Tooltip_Ability_luna_sky_Description"        "Reduce all enemies’ vision until the caster dies."
         "DOTA_Tooltip_Ability_luna_sky_fixed_vision"         "Fixed vision range: "
         "DOTA_Tooltip_Ability_luna_sky_lore"       "It is a humbling sight to see when the mightiest of warriors become afraid of the dark."
         "DOTA_Tooltip_Ability_luna_curse"          "Selemene’s Curse"
         "DOTA_Tooltip_Ability_luna_curse_Description"      "Randomly apply 1) incoming damage amplification or 2) outgoing damage and healing cause reduction to all enemies. "
         "DOTA_Tooltip_Ability_luna_curse_range"        "RANGE: "
         "DOTA_Tooltip_Ability_luna_curse_dmg_amp"      "%INCOMING DAMAGE AMPLIFICATION: "
         "DOTA_Tooltip_Ability_luna_curse_dmg_reduction"        "%OUTGOING DAMAGE REDUCTION: "
         "DOTA_Tooltip_Ability_luna_curse duration"         "DURATION: "
         "DOTA_Tooltip_Ability_luna_curse_lore"         "Moonlight shines upon the guilty and the innocent alike."
         "DOTA_Tooltip_modifier_luna_curse_dmg_reduce"      "Outgoing damage and healing cause reduction"
         "DOTA_Tooltip_modifier_luna_curse_dmg_amp"     "Incoming damage amplification"
         "DOTA_Tooltip_Ability_luna_wave"           "Lunar Wave"
         "DOTA_Tooltip_Ability_luna_wave_Description"       "Launch a dodgeable void nature damage wave projectile to all enemies. Uninterruptible cast time: 2 seconds"
         "DOTA_Tooltip_Ability_luna_wave_range"     "RANGE: "
         "DOTA_Tooltip_Ability_luna_wave_damage"        "DAMAGE: "
         "DOTA_Tooltip_Ability_luna_wave_lore"          "Although the market is dominated by Blue bull and Monster Penergy, Luna dreamed of producing this liquefied moon energy as an energy drink."
         "DOTA_Tooltip_Ability_luna_cruelty"        "Huntress’ Cruelty "
         "DOTA_Tooltip_Ability_luna_cruelty_Description"        "Create images of Luna. They have Luna’s passive skills except Moon bound."
         "DOTA_Tooltip_Ability_luna_cruelty_take"       "%ILLUSION DAMAGE TAKEN: "
         "DOTA_Tooltip_Ability_luna_cruelty_deal"       "%ILLUSION DAMAGE DEALT: "
         "DOTA_Tooltip_Ability_luna_cruelty_number"     "NUMBER OF ILLUSIONS: "
         "DOTA_Tooltip_Ability_luna_cruelty_duration"   "DURATION: "
         "DOTA_Tooltip_Ability_luna_cruelty_lore"       "Under Selemene’s light, reflections of Luna aid her in the heat of battle."
         "DOTA_Tooltip_Ability_luna_orbs"        "Moon Orbs"
         "DOTA_Tooltip_Ability_luna_orbs_Description"       "Launch moon orbs that bounces between nearby enemies to all enemies. Moon orbs deal void nature damage and stun. "
         "DOTA_Tooltip_Ability_luna_orbs_range"         "RANGE: "
         "DOTA_Tooltip_Ability_luna_orbs_bounce"        "BOUNCE RANGE: "
         "DOTA_Tooltip_Ability_luna_orbs_damage"        "DAMAGE: "
         "DOTA_Tooltip_Ability_luna_orbs_stun"          "STUN DURATION: "
         "DOTA_Tooltip_Ability_luna_orbs_lore"        "Which one is bouncier? These orbs or Luna’s ultimate orbs ( ͡° ͜ʖ ͡°) "
         "DOTA_Tooltip_Ability_luna_wax_wane"       "Wax and Wane"
         "DOTA_Tooltip_Ability_luna_wax_wane_Description"       "Periodically grow stronger and become weaker in 10 seconds cycle like how moon wax and wane in a lunar cycle. Value is zero at 0 second and 5 second in each phase and peak at 2.5 second."
         "DOTA_Tooltip_Ability_luna_wax_wane_as_bonus"      "%MAX ATTACK SPEED BONUS: "
         "DOTA_Tooltip_Ability_luna_wax_wane_ms_bonus"      "%MAX MOVE SPEED BONUS: "
         "DOTA_Tooltip_Ability_luna_wax_wane_dmg_reduction"     "%MAX INCOMING DAMAGE REDUCTION: "
         "DOTA_Tooltip_Ability_luna_wax_wane_as_reduce"         "%MAX ATTACK SPEED REDUCE: "
         "DOTA_Tooltip_Ability_luna_wax_wane_ms_reduce"         "%MAX MOVE SPEED REDUCE: "
         "DOTA_Tooltip_Ability_luna_wax_wane_dmg_amp"           "%MAX INCOMING DAMAGE AMPLIFICATION: "
         "DOTA_Tooltip_Ability_luna_wax_wane_duration"          "EACH PHASE DURATION: "
         "DOTA_Tooltip_Ability_luna_wax_wane_lore"      "The moon waxes, and my mercy wanes."
         "DOTA_Tooltip_modifier_luna_wax_wane_wax"      "Wax"
         "DOTA_Tooltip_modifier_luna_wax_wane_wax_Description"  "Stronger"
         "DOTA_Tooltip_modifier_luna_wax_wane_wane"     "Wane"
         "DOTA_Tooltip_modifier_luna_wax_wane_wane_Description"     "Weaker"
         "DOTA_Tooltip_Ability_luna_bound"      "Moon Bound"
         "DOTA_Tooltip_Ability_luna_bound_Description"      "If one moon bound unit dies, the other one will gain lifesteal and attack damage bonus."
         "DOTA_Tooltip_Ability_luna_bound_attack"           "%ATTACK DAMAGE BONUS: "
         "DOTA_Tooltip_Ability_luna_bound_lifesteal"        "%LIFESTEAL: "
         "DOTA_Tooltip_Ability_luna_bound_lore"     "Pledging oneself to the service of Selemene bound one’s soul for eternity."
         "DOTA_Tooltip_modifier_luna_bound_buff"       "Moon Bound"
         "DOTA_Tooltip_modifier_luna_bound_buff_Description"   "Grant lifesteal and attack damage bonus when there are 2 charges. Gain charge when Mirana dies."

         //venge
         "DOTA_Tooltip_Ability_venge_missile"      "Moon Missile"
         "DOTA_Tooltip_Ability_venge_missile_Description"       "Auto attack explodes and splashes in a large radius. Dealing void nature damage base on distance from the initial target. Apply Moondaze reducing move speed of enemies’ inverse to the percentage of splash damage the enemy took."
         "DOTA_Tooltip_Ability_venge_missile_radius"         "SPLASH RADIUS: "
         "DOTA_Tooltip_Ability_venge_missile_splash_max"        "%MAX SPLASH DAMAGE FROM ATTACK DAMAGE 300 RADIUS: "
         "DOTA_Tooltip_Ability_venge_missile_splash_min"        "%MIN SPLASH DAMAGE FROM ATTACK DAMAGE AT 2000 RADIUS: "
         "DOTA_Tooltip_Ability_venge_missile_slow_min"      "%MIN TURN RATE AND MOVE SPEED REDUCTION AT 300 RADIUS: "
         "DOTA_Tooltip_Ability_venge_missile_slow_max"      "%MAX TURN RATE AND MOVE SPEED REDUCTION AT 2000 RADIUS: "
         "DOTA_Tooltip_Ability_venge_missile_duration"      "MOONDAZE SLOW DURATION: "
         "DOTA_Tooltip_Ability_venge_missile_lore"          "Moon missile shattered upon impact releasing compacted dazing moon energy."
         "DOTA_Tooltip_modifier_venge_missile_moondaze"         "Moondaze"
         "DOTA_Tooltip_modifier_venge_missile_moondaze_Description"     "Turn rate and move speed reduced."
         "DOTA_Tooltip_Ability_venge_sky"        "Eclipsed Sky"
         "DOTA_Tooltip_Ability_venge_sky_Description"        "Reduce all enemies’ vision until the caster dies."
         "DOTA_Tooltip_Ability_venge_sky_fixed_vision"         "Fixed vision range: "
         "DOTA_Tooltip_Ability_venge_sky_lore"       "It is a humbling sight to see when the mightiest of warriors become afraid of the dark."
         "DOTA_Tooltip_Ability_venge_side"       "The Other Side of the Moon"
         "DOTA_Tooltip_Ability_venge_side_Description"       "You may never know what is on the other side of the moon. Infuse herself with random element every certain percentages of health loss, gain resistance and buff depends on infused element. Casting spells also infuse element for a brief period."
         "DOTA_Tooltip_Ability_venge_side_health_per_infuse"    "%HEALTH LOSS PER ONE INFUSION: "
         "DOTA_Tooltip_Ability_venge_side_resist"       "%INFUSED ELEMENT RESISTANCE GAIN: "
         "DOTA_Tooltip_Ability_venge_side_fire_as"      "%FIRE ATTACK SPEED BONUS: "
         "DOTA_Tooltip_Ability_venge_side_frost_slow"       "%FROST 4S SLOW ON EVERY DAMAGE INSTANCE: "
         "DOTA_Tooltip_Ability_venge_side_earth_dmg_reduction"      "%EARTH INCOMING DAMAGE REDUCTION: "
         "DOTA_Tooltip_Ability_venge_side_void_mana_burn"          "%VOID MAX MANA AS MANA BURNED ON EVERY DAMAGE INSTANCE: "
         "DOTA_Tooltip_Ability_venge_side_holy_ad_ms"       "%HOLY ATTACK DAMAGE AND MOVE SPEED BONUS: "
         "DOTA_Tooltip_Ability_venge_side_nature_regen"         "%NATURE MAX HEALTH REGEN: "
         "DOTA_Tooltip_Ability_venge_side_inferno_resist_reduce"        "INFERNO 4S FLAT RESISTANCE REDUCTION DEBUFF ON EVERY DAMAGE INSTANCE: "
         "DOTA_Tooltip_Ability_venge_side_infuse_duration"      "INFUSED DURATION: "
         "DOTA_Tooltip_Ability_venge_side_lore"     "While moon based elements, namely nature and void, are her preference. Unbeknownst to most challengers, Selemene is well-versed in all types of elements."
         "DOTA_Tooltip_Ability_venge_fall"          "Sky Fall"
         "DOTA_Tooltip_Ability_venge_fall_Description"      "Call forth several moon balls falling randomly and rolling forward. Deal high contract fire damage and small fire damage over time."
         "DOTA_Tooltip_Ability_venge_fall_infuse_fire"      "INFUSE FIRE DURATION: "
         "DOTA_Tooltip_Ability_venge_fall_range"        "RANGE: "
         "DOTA_Tooltip_Ability_venge_fall_base_damage"      "CONTRACT DAMAGE: "
         "DOTA_Tooltip_Ability_venge_fall_dot"      "BURN DOT: "
         "DOTA_Tooltip_Ability_venge_fall_duration"     "FALLING DURATION: "
         "DOTA_Tooltip_Ability_venge_fall_lore"         "Until the day the sky rained fire and the new enemy came upon us."
         "DOTA_Tooltip_modifier_venge_fall_burn"        "Burn"
         "DOTA_Tooltip_modifier_venge_fall_burn_Description"    "Take damage over time"
         "DOTA_Tooltip_Ability_venge_tide"          "Rising Tide"
         "DOTA_Tooltip_Ability_venge_tide_Description"      "After a short delay, blast the areas under enemies with high tide. High tide deals frost damage and stuns enemies then floods the area slowing move speed of anyone caught in flood."
         "DOTA_Tooltip_Ability_venge_tide_infuse_frost"     "INFUSE FROST DURATION: "
         "DOTA_Tooltip_Ability_venge_tide_range"            "RANGE: "
         "DOTA_Tooltip_Ability_venge_tide_radius"           "RADIUS: "
         "DOTA_Tooltip_Ability_venge_tide_number"           "NUMBER OF HIGH TIDES: "
         "DOTA_Tooltip_Ability_venge_tide_stun"             "STUN: "
         "DOTA_Tooltip_Ability_venge_tide_damage"           "DAMAGE: "
         "DOTA_Tooltip_Ability_venge_tide_flood_ms_slow"          "FLOOD MOVE SPEED SLOW: "
         "DOTA_Tooltip_Ability_venge_tide_lore"             "The rise and fall of tides twice a day, with spring and neap tides twice in the lunar month, are the effect of the combined action of sun and moon."
         "DOTA_Tooltip_modifier_venge_tide_flood_slow"      "FLOOD"
         "DOTA_Tooltip_modifier_venge_tide_flood_slow_Description"      "Move speed reduced."
         "DOTA_Tooltip_Ability_venge_moonify"           "Moonify"
         "DOTA_Tooltip_Ability_venge_moonify_Description"      "Banish a random enemy covert it into a moon. Moon gravitates enemies in radius, dealing earth damage, pulling and stunning them every interval. Moon instantly kill heroes if they are too close. Moon can be killed but killing doing this will also kill the convert enemy. The convert enemy will need to be rescue by having one ally move close to him/her after moonify ends or they remained banish and die in 30 seconds."
         "DOTA_Tooltip_Ability_venge_moonify_infuse_earth"          "INFUSE EARTH DURATION: "
         "DOTA_Tooltip_Ability_venge_moonify_range"     "RANGE: "
         "DOTA_Tooltip_Ability_venge_moonify_radius"    "PULLING RADIUS: "
         "DOTA_Tooltip_Ability_venge_moonify_damage"        "DAMAGE: "
         "DOTA_Tooltip_Ability_venge_moonify_interval"      "PULL INTERVAL: "
         "DOTA_Tooltip_Ability_venge_moonify_pull_distance"     "PULLING DISTANCE: "
         "DOTA_Tooltip_Ability_venge_moonify_moon_duration"          "MOON DURATION: "
         "DOTA_Tooltip_Ability_venge_moonify_hit_to_kill"       "HIT TO KILL: "
         "DOTA_Tooltip_Ability_venge_moonify_lore"          "Become one with the moon."
         "DOTA_Tooltip_Ability_venge_umbra"         "Umbra"
         "DOTA_Tooltip_Ability_venge_umbra_Description"     "Burns mana from the farthest enemies. Mana burned combusts deal void damage for a portion of mana burned."
         "DOTA_Tooltip_Ability_venge_umbra_infuse_void"         "INFUSE VOID DURATION: "
         "DOTA_Tooltip_Ability_venge_umbra_range"           "RANGE: "
         "DOTA_Tooltip_Ability_venge_umbra_mana_burn"           "%MAX MANA AS MANA BURNED: "
         "DOTA_Tooltip_Ability_venge_umbra_void_per_burn"       "%BURNED MANA AS VOID DAMAGE: "
         "DOTA_Tooltip_Ability_venge_umbra_number"          "NUMBER OF TARGETS: "
         "DOTA_Tooltip_Ability_venge_umbra_lore"        "Engulfed by the eternal void, one's mind is tainted and one’s essence is devoured."
         "DOTA_Tooltip_Ability_venge_guardian"          "Spirit Guardian"
         "DOTA_Tooltip_Ability_venge_guardian_Description"          "Summon Spirit of Mirana with moonshard arrow passive and Spirit of Luna with void glaive passive. They deal holy damage instead of physical damage, focus lowest aggro enemy and are invulnerable."
         "DOTA_Tooltip_Ability_venge_guardian_infuse_holy"          "INFUSING HOLY DURATION: "
         "DOTA_Tooltip_Ability_venge_guardian_ms"           "SPIRIT CONSTANT MOVER SPEED: "
         "DOTA_Tooltip_Ability_venge_guardian_duration"     "DURATION: "
         "DOTA_Tooltip_Ability_venge_guardian_lore"         "Pledging oneself to the service of Selemene bound one’s soul for eternity."
         "DOTA_Tooltip_Ability_venge_storm"             "Moon Storm"
         "DOTA_Tooltip_Ability_venge_storm_Description"         "When getting damaged, randomly spawn a moon storm at every enemies. Moon storm deals nature damage every second on enemies standing in it. "
         "DOTA_Tooltip_Ability_venge_storm_infuse_nature"       "INFUSE NATURE DURATION: "
         "DOTA_Tooltip_Ability_venge_storm_range"           "RANGE: "
         "DOTA_Tooltip_Ability_venge_storm_chance"      "CHANCE: "
         "DOTA_Tooltip_Ability_venge_storm_duration"        "DURATION: "
         "DOTA_Tooltip_Ability_venge_storm_damage"          "DAMAGE PER SECOND: "
         "DOTA_Tooltip_Ability_venge_storm_lore"        "Selemene is the moon energy manifestation herself. Volatile moon energy occasionally leaks from her forming a destructive storm wreaking havoc the Earth."
         "DOTA_Tooltip_Ability_venge_fel"           "Fel Moon"
         "DOTA_Tooltip_Ability_venge_fel_Description"           "Launch multiple fel moons at random enemies. Each applies fel burn debuff reducing all resistance and dealing inferno damage over time."
         "DOTA_Tooltip_Ability_venge_fel_infuse_inferno"        "INFUSE INFERNO DURATION: "
         "DOTA_Tooltip_Ability_venge_fel_range"         "RANGE: "
         "DOTA_Tooltip_Ability_venge_fel_number"            "NUMBER OF FEL MOONS: "
         "DOTA_Tooltip_Ability_venge_fel_flat_resist_reduction"     "FLAT ALL RESISTANCE REDUCTION PER FEL MOON: "
         "DOTA_Tooltip_Ability_venge_fel_dot"           "DAMAGE OVER TIME: "
         "DOTA_Tooltip_Ability_venge_fel_duration"      "FEL BURN DURATION: "
         "DOTA_Tooltip_Ability_venge_fel_lore"          "Corruptive nature of fel magic forced Selemene to be extremely carefully casting this spell."
         "DOTA_Tooltip_modifier_venge_fel_felburn"      "Felburn"
         "DOTA_Tooltip_modifier_venge_fel_felburn_Description"      "Taking damage over time and have reduced resistance."

        //scrap
         "DOTA_Tooltip_Ability_lycan_curse"    "Blood Moon Curse"
         "DOTA_Tooltip_Ability_lycan_curse_Description"    "Curse a random enemy transform it into an ally cursed wolf. It applies curse bite on attacks and die if it cannot find a target. 5 curse bites convert target in to a new cursed wolf."
         "DOTA_Tooltip_Ability_lycan_curse_note0"        "If a cursed wolf finds no enemy to attacks within 2000 range, it will die. Killing Lycan dispels the curses."
         "DOTA_Tooltip_Ability_lycan_curse_range"        "RANGE: "
         "DOTA_Tooltip_Ability_lycan_curse_attack_range"     "CURSED WOLF ATTACK RANGE: "
         "DOTA_Tooltip_Ability_lycan_curse_base_ms"       "CURSE WOLF BASE MOVE SPEED: "
         "DOTA_Tooltip_Ability_lycan_curse_duration"      "CURSED WOLF DURATION: "
         "DOTA_Tooltip_modifier_lycan_curse_bite"        "Curse bite"
         "DOTA_Tooltip_modifier_lycan_curse_bite_Description"  "Turning into a cursed wolf when 5 stacks reached"

    }
}
